Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
11/12/04,Bochum,Hamburg,1,2,A,0,2,A,13,15,23,18,6,2,3,1,0,0
11/12/04,Hannover,Hertha,0,1,A,0,0,D,19,8,11,17,6,5,2,1,0,0
11/12/04,Hansa Rostock,Dortmund,1,1,D,1,1,D,15,10,23,19,12,4,1,3,0,0
11/12/04,Mainz,Nurnberg,0,1,A,0,1,A,20,9,14,18,9,3,1,1,0,0
11/12/04,Schalke 04,Freiburg,1,1,D,1,0,H,22,6,14,20,12,5,0,1,0,0
11/12/04,Werder Bremen,Kaiserslautern,1,1,D,0,0,D,29,8,14,24,14,6,2,2,1,0
12/12/04,M'gladbach,Leverkusen,1,1,D,0,0,D,19,7,21,22,5,1,1,2,0,0
12/12/04,Wolfsburg,Bielefeld,5,0,H,4,0,H,20,9,22,18,8,4,2,2,0,0
21/01/05,Bayern Munich,Hamburg,3,0,H,1,0,H,20,9,18,19,6,10,2,2,0,0
22/01/05,Hansa Rostock,Freiburg,0,0,D,0,0,D,10,15,20,24,9,6,1,3,0,0
22/01/05,Mainz,Stuttgart,2,3,A,1,0,H,14,17,19,19,4,5,2,3,0,0
22/01/05,M'gladbach,Bielefeld,1,0,H,0,0,D,17,12,26,18,7,4,5,2,0,0
22/01/05,Nurnberg,Kaiserslautern,1,3,A,0,0,D,18,13,12,17,7,4,1,3,0,0
22/01/05,Schalke 04,Werder Bremen,2,1,H,0,0,D,16,11,19,15,9,4,4,3,0,0
22/01/05,Wolfsburg,Dortmund,1,2,A,0,0,D,12,11,22,12,8,2,2,1,0,0
23/01/05,Bochum,Hertha,2,2,D,1,2,A,16,13,20,28,8,1,1,2,0,0
23/01/05,Hannover,Leverkusen,0,3,A,0,2,A,8,10,16,19,6,3,0,2,0,0
29/01/05,Bielefeld,Hannover,0,1,A,0,1,A,15,8,21,23,12,2,1,1,0,0
29/01/05,Dortmund,M'gladbach,1,1,D,1,0,H,16,11,16,19,3,7,0,2,0,0
29/01/05,Freiburg,Wolfsburg,1,0,H,0,0,D,13,19,14,32,9,2,1,2,0,1
29/01/05,Hamburg,Mainz,2,1,H,1,1,D,20,11,22,23,3,3,2,1,0,0
29/01/05,Kaiserslautern,Schalke 04,2,0,H,0,0,D,4,14,24,18,0,8,4,4,0,0
29/01/05,Leverkusen,Bochum,4,0,H,2,0,H,16,10,23,17,2,7,0,1,0,0
29/01/05,Stuttgart,Nurnberg,2,4,A,0,2,A,20,11,27,22,9,2,4,3,0,0
30/01/05,Hertha,Bayern Munich,0,0,D,0,0,D,9,13,27,23,2,3,3,2,0,0
30/01/05,Werder Bremen,Hansa Rostock,3,2,H,2,1,H,21,9,31,27,5,5,1,1,0,0
05/02/05,Bayern Munich,Leverkusen,2,0,H,1,0,H,17,10,26,27,4,3,1,4,0,0
05/02/05,Bochum,Bielefeld,1,1,D,1,1,D,17,12,35,25,6,4,4,1,0,0
05/02/05,Hannover,Dortmund,1,3,A,0,2,A,13,11,10,27,6,2,0,3,0,0
05/02/05,Hansa Rostock,Schalke 04,2,2,D,0,1,A,11,18,20,14,7,6,2,0,1,0
05/02/05,Mainz,Hertha,0,3,A,0,1,A,17,5,18,21,5,0,2,1,0,0
05/02/05,Nurnberg,Hamburg,1,3,A,0,1,A,25,9,19,21,7,5,1,1,0,0
05/02/05,Stuttgart,Kaiserslautern,1,1,D,1,0,H,15,5,25,18,5,5,4,4,0,1
06/02/05,M'gladbach,Freiburg,3,2,H,2,1,H,20,11,17,17,6,0,1,4,0,0
06/02/05,Wolfsburg,Werder Bremen,2,3,A,1,0,H,6,13,19,24,2,12,2,1,0,0
12/02/05,Dortmund,Bochum,1,0,H,1,0,H,20,13,19,19,11,6,0,2,0,0
12/02/05,Freiburg,Hannover,0,0,D,0,0,D,14,2,13,18,2,3,1,1,0,0
12/02/05,Hamburg,Stuttgart,2,1,H,1,1,D,13,5,29,27,5,4,2,5,0,1
12/02/05,Hertha,Nurnberg,2,1,H,1,0,H,13,8,22,26,6,4,5,4,1,0
12/02/05,Kaiserslautern,Hansa Rostock,2,1,H,1,0,H,11,12,24,18,3,1,0,3,0,1
12/02/05,Schalke 04,Wolfsburg,3,0,H,2,0,H,18,11,16,20,8,2,1,4,0,1
12/02/05,Werder Bremen,M'gladbach,2,0,H,1,0,H,21,6,14,22,6,5,0,5,0,0
13/02/05,Bielefeld,Bayern Munich,3,1,H,1,0,H,10,17,16,20,1,9,2,2,0,0
13/02/05,Leverkusen,Mainz,2,0,H,0,0,D,17,9,18,26,7,5,2,2,0,0
19/02/05,Bayern Munich,Dortmund,5,0,H,4,0,H,17,7,10,25,4,3,0,2,0,0
19/02/05,Bochum,Freiburg,3,1,H,1,0,H,21,12,20,26,3,3,1,5,0,1
19/02/05,Hamburg,Kaiserslautern,2,1,H,2,0,H,14,14,18,22,8,8,2,2,0,0
19/02/05,Hannover,Werder Bremen,1,4,A,1,2,A,15,13,10,22,6,5,1,2,0,0
19/02/05,Mainz,Bielefeld,0,0,D,0,0,D,18,9,23,19,4,2,1,2,0,0
19/02/05,Nurnberg,Leverkusen,2,4,A,1,2,A,18,10,14,19,9,3,1,1,0,0
19/02/05,Wolfsburg,Hansa Rostock,4,0,H,2,0,H,12,6,19,24,3,4,0,2,0,0
20/02/05,M'gladbach,Schalke 04,1,3,A,1,1,D,12,12,21,17,4,3,2,0,0,0
20/02/05,Stuttgart,Hertha,1,0,H,1,0,H,8,12,26,20,2,4,1,3,0,0
26/02/05,Bielefeld,Nurnberg,3,1,H,2,1,H,12,20,5,22,3,2,0,1,0,0
26/02/05,Dortmund,Mainz,3,0,H,1,0,H,30,14,15,18,4,4,1,0,0,0
26/02/05,Freiburg,Bayern Munich,0,1,A,0,0,D,11,14,19,15,10,3,0,2,0,0
26/02/05,Hansa Rostock,M'gladbach,0,0,D,0,0,D,12,5,15,23,8,5,1,3,0,0
26/02/05,Hertha,Hamburg,4,1,H,3,0,H,12,25,24,21,1,10,2,4,1,0
26/02/05,Kaiserslautern,Wolfsburg,0,0,D,0,0,D,15,13,23,17,6,4,4,5,0,1
26/02/05,Werder Bremen,Bochum,4,0,H,1,0,H,17,10,15,18,6,3,0,1,0,0
27/02/05,Leverkusen,Stuttgart,1,1,D,0,0,D,14,9,20,25,6,2,4,4,0,0
27/02/05,Schalke 04,Hannover,1,0,H,0,0,D,17,16,17,12,8,8,1,4,0,0
05/03/05,Bayern Munich,Werder Bremen,1,0,H,1,0,H,6,13,17,27,5,8,2,4,0,0
05/03/05,Bochum,Schalke 04,0,2,A,0,1,A,10,19,25,20,3,9,2,1,0,0
05/03/05,Hamburg,Leverkusen,1,0,H,1,0,H,9,12,29,23,4,3,5,3,0,0
05/03/05,Hannover,Hansa Rostock,0,1,A,0,1,A,11,12,21,23,7,4,0,3,0,0
05/03/05,Mainz,Freiburg,5,0,H,3,0,H,17,12,21,14,6,13,1,3,0,0
05/03/05,M'gladbach,Wolfsburg,1,0,H,0,0,D,15,7,12,20,5,3,2,1,0,0
05/03/05,Stuttgart,Bielefeld,2,1,H,0,0,D,19,5,23,23,9,2,0,1,0,0
06/03/05,Hertha,Kaiserslautern,1,1,D,0,0,D,24,11,14,21,6,6,3,2,0,0
